127.0.0.1, 2017-03-30 16:45:01, GET, /admin/default/edit/earnings_reports/models/db_companies.py, HTTP/1.1, 200, 0.053705
127.0.0.1, 2017-03-30 16:45:03, POST, /admin/default/edit/earnings_reports/models/db_companies.py, HTTP/1.1, 200, 0.037187
127.0.0.1, 2017-03-30 16:45:05, GET, /admin/default/edit/earnings_reports/models/db_companies.py, HTTP/1.1, 200, 0.046095
127.0.0.1, 2017-03-30 16:45:07, GET, /admin/default/edit/earnings_reports/models/db_companies.py, HTTP/1.1, 200, 0.046547
127.0.0.1, 2017-03-30 16:45:18, GET, /admin/default/edit/earnings_reports/models/db_companies.py, HTTP/1.1, 200, 0.047455
127.0.0.1, 2017-03-30 16:45:22, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 200, 0.075924
127.0.0.1, 2017-03-30 16:45:22, GET, /admin/default/edit/earnings_reports/models/earnings_reports.py, HTTP/1.1, 303, 0.068872
127.0.0.1, 2017-03-30 16:45:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000842
127.0.0.1, 2017-03-30 16:45:23, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.131687
127.0.0.1, 2017-03-30 16:45:23, GET, /earnings_reports/appadmin/hooks, HTTP/1.1, 500, 0.384515
127.0.0.1, 2017-03-30 16:45:23, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.425135
127.0.0.1, 2017-03-30 16:45:23, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.458770
127.0.0.1, 2017-03-30 16:45:23, GET, /admin/default/site, HTTP/1.1, 200, 0.462084
127.0.0.1, 2017-03-30 16:45:27, GET, /admin/default/edit/earnings_reports/models/db_companies.py, HTTP/1.1, 200, 0.050500
127.0.0.1, 2017-03-30 16:45:27, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.015516
127.0.0.1, 2017-03-30 16:45:34, GET, /admin/default/edit/earnings_reports/models/, HTTP/1.1, 200, 0.073719
127.0.0.1, 2017-03-30 16:45:34, GET, /admin/default/edit/earnings_reports/models, HTTP/1.1, 303, 0.046358
127.0.0.1, 2017-03-30 16:45:34, GET, /favicon.ico, HTTP/1.1, 400, 0.000674
127.0.0.1, 2017-03-30 16:45:34, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.115338
